Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete,Government,Private,Semiprivate,University/Academic Hospital,Non-academic Hospital,District Hospital,Community Hospital/Secondary,-,Community,District,Government.1,Hospital,Hospital/Secondary,Non-academic,Other.1,Private.1,Semiprivate.1,University/Academic,-.1,Community.1,District.1,Government.2,Hospital.1,Hospital/Secondary.1,Non-academic.1,Other.2,Private.2,Semiprivate.2,University/Academic.1
SC-2936235,Yes,Sudan,Karachiartoum,Adult,Medical-Surgical Mixed ICU,,Government Private University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,6 - 10 years,No,,,,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,Active Participation / Present During Rounds,0,,,Somewhat Familiar,None of them,No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Non-Compliant,Non-Compliant,Compliant on some patients,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,No,Fentanyl,,Yes,Yes,No,Midazolam Propofol,,No,No,No,Never,Never,No,No,No,No,No,No,No,No,No,No,Yes,8,8,8,8,Not a Barrier,4,4,,Completed,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
SC-2936236,Yes,Sudan,Karachiartoum,Adult,Surgical ICU Cardiac Thoracic ICU,,Government,,11 - 20 beds,1 nurse to 1 patient,No,Training MD (Intern/Resident/Fellow),,3 - 5 years,No,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2936237,Yes,Sudan,Wad Madani,Both Adult and Pediatric,Medical-Surgical Mixed ICU Other,8 beds with 4 ventilators and 1 portable CPAPreceived all Traumatic pt from all age,Government,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,<2 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,0,Maxillofacial  and orthopedic surgeons,Neurological  team,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",I don't know,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on most patients,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,No,Fentanyl Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Propofol Ketamine,,No,I don't know,No,Within 1-3 days of admission,Daily,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,6,5,7,Not a Barrier,5,Not a Barrier,3,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2936239,Yes,Sudan,Karachiartoum,Adult,Medical-Surgical Mixed ICU,,Government Private University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,<2 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,0,,,I have never heard of it,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial E: Early Mobility",I don't know,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures Handouts,Handouts,Lectures Handouts,No,Handouts,No,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,No,Fentanyl Morphine Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Ketamine,,No,Yes,No,Within 1-3 days of admission,Multiple times a day,No,No,No,No,No,Yes,No,No,No,No,Yes,8,8,4,4,4,4,4,,Completed,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
SC-2936325,Yes,Turkey,Lefkosa,Adult,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Private,,21 - 30 beds,1 nurse to 3-5 patients,Yes,Pharmacist,,6 - 10 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2936371,Yes,Jordan,Amman,Adult,Medical ICU Medical-Surgical Mixed ICU,,University/Academic Hospital,,21 - 30 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,6 - 10 years,Yes,,,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,None of them,No,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Non-Compliant,Compliant on most patients,Lectures,Lectures Handouts,Lectures,Lectures,Lectures,Lectures,Physician Training MD Intern / Resident / Fellow,Physician,Physician,Physician,Physician,Physician Training MD Intern / Resident / Fellow Registered Nurse,No,Fentanyl Morphine Paracetamol,,Yes,Yes,No,Midazolam Propofol Ketamine Dexmedetomidine,,No,No,No,Never,Variable,No,No,No,No,No,Yes,No,No,No,No,Yes,3,3,6,3,Not a Barrier,7,5,Lack of leadership,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2936436,Yes,Jordan,Amman,Pediatric,Pediatric ICU,,Private,,11 - 20 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,>15 years,No,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2936727,Yes,Jordan,Amman,Adult,Medical ICU,,Government University/Academic Hospital,,11 - 20 beds,1 nurse to 1 patient,No,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,0,,,"I have heard of it, but I don't know much about it",None of them,No,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Lectures Simulations,Videos Lectures Simulations,Videos Lectures Handouts Simulations,Lectures Simulations,Lectures Simulations,Lectures Handouts Simulations,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine,,Yes,Yes,Yes,Midazolam Propofol,,Yes,No,No,Within 1-3 days of admission,Daily,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,5,6,5,6,6,4,5,,Completed,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
SC-2936744,Yes,Egypt,Cairo,Adult,Medical ICU,,Government,,11 - 20 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2936866,Yes,Egypt,Port said,Adult,Medical-Surgical Mixed ICU,,Government,,21 - 30 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,Yes,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2939124,Yes,Jordan,Amman,Adult,Medical-Surgical Mixed ICU,,Semiprivate,,11 - 20 beds,1 nurse to 1 patient,I don't know,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Very Familiar,None of them,No,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Handouts,Handouts,Lectures Handouts,Lectures Handouts,Handouts,Handouts,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 4-6 days of admission,Daily,Yes,Yes,No,No,I don't know,Yes,No,No,No,Yes,Yes,4,4,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Na,Completed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SC-2939847,Yes,Ethiopia,Bahir Dar,Adult,Surgical ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,3 - 5 years,No,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,No,No,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation",No,Non-Compliant,Non-Compliant,Compliant on most patients,Compliant on some patients,Non-Compliant,Non-Compliant,Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Diazepam Propofol Ketamine,,No,No,Yes,Never,Never,No,No,No,No,No,No,No,No,No,No,Yes,5,5,8,7,2,8,5,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2939875,Yes,Nigeria,Kaduna,Both Adult and Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Government,,Less than 10 beds,1 nurse to 3-5 patients,No,Registered Nurse,,>15 years,Yes,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,0,,,I have never heard of it,None of them,I don't know,I don't know,Non-Compliant,Non-Compliant,Compliant on some patients,Compliant on some patients,I don't know,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician,I don't know,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,I don't know,I don't know,I don't know,Propofol Ketamine,,I don't know,Yes,I don't know,Within 4-6 days of admission,Daily,No,Yes,I don't know,I don't know,I don't know,Yes,Yes,Yes,No,Yes,Yes,1,2,1,1,4,8,8,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2939876,Yes,Nigeria,Kebbi State,Adult,Other,General ICU,University/Academic Hospital,,11 - 20 beds,1 nurse to 3-5 patients,Yes,Registered Nurse,,6 - 10 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2939879,Yes,Nigeria,Bida,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government,,Less than 10 beds,1 nurse to 3-5 patients,No,Registered Nurse,,<2 years,No,,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,I have never heard of it,"A: Assess, Prevent and Manage Pain B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility F: Family Engagement",I don't know,I don't know,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,Handouts,Handouts,Simulations,Lectures Handouts,Handouts,Physician,Physician,Physician,Physician,Registered Nurse,Registered Nurse,No,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Propofol Ketamine,,No,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,No,No,No,No,Yes,No,No,No,No,Yes,1,4,1,1,7,1,7,Lack of cooperation from the part of the hospital management,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2939906,Yes,Nigeria,Uyo,Both Adult and Pediatric,Surgical ICU Medical ICU Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,No,Other,Critical care nurse,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2939909,Yes,Nigeria,Ilorin,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,11 - 15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2939917,Yes,Nigeria,Ilorin,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,Yes,Registered Nurse,,11 - 15 years,No,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2939919,Yes,Nigeria,Ilorin,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,11 - 15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,The CMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2939921,Yes,Nigeria,Ilorin(ILORIN),Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,Yes,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,11 - 15 years,Yes,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,CMD,,"I have heard of it, but I don't know much about it","A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation",I don't know,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,No,Lectures,No,Handouts,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Lorazepam Propofol,,Yes,Yes,Yes,Within 7-10 days of admission,Variable,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Not a Barrier,Not a Barrier,3,5,5,5,6,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
