Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete
SC-2932564,Yes,Malawi,Lilongwe,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,Yes,Registered Nurse,,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - , - , - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation F: Family Engagement",No,Compliant on some patients,Compliant on some patients,Compliant on most patients,I don't know,Compliant on some patients,Compliant on most patients,Lectures,Lectures,Lectures,No,Lectures,Lectures,Physician Registered Nurse,Physician Respiratory Therapist,Physician,Physician,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse Respiratory Therapist,No,Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,No,Yes,No,Midazolam Diazepam Lorazepam Propofol Ketamine,,I don't know,Yes,No,Never,Never,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,1,1,1,1,7,3,6,Lack of motivation awards,Completed
SC-2932642,Yes,Malawi,Lilongwe,Both Adult and Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,Yes,Other,Nurse midwife technician,3 - 5 years,No, - , - ,Active Participation / Present During Rounds, - , - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Anaesthetist,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation",No,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,Fully Compliant (on all eligible patients),No,No,No,No,No,No,Physician Registered Nurse,Physician,Physician,Physician,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse,Yes,Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Diazepam Propofol Ketamine,,No,Yes,No,Within 4-6 days of admission,Variable,Yes,Yes,Yes,I don't know,I don't know,No,No,Yes,Yes,No,Yes,5,5,2,2,1,3,1,Lack of knowledge and protocols to guide,Completed
SC-2911968,Yes,Mexico,Mexico City,Adult,Medical-Surgical Mixed ICU,,Private University/Academic Hospital,,>40 beds,1 nurse to 3-5 patients,Yes,Physician (Consultant/Attending),,6 - 10 years,No, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2912148,Yes,Mexico,Mexico City,Adult,Medical-Surgical Mixed ICU,,Government,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Somewhat Familiar,None of them,No,Non-Compliant,Non-Compliant,Non-Compliant,Compliant on some patients,Compliant on some patients,Compliant on some patients,Videos Lectures,Videos Lectures,Videos Lectures,Videos Lectures,Videos Lectures,Lectures,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,No,Paracetamol Nonsteroidal anti-inflammatory drugs Other,buprenorphine,Yes,Yes,No,Midazolam Propofol Ketamine Dexmedetomidine,,No,No,No,Within 4-6 days of admission,Every other day,No,No,No,No,No,No,No,No,No,No,Yes,7,1,2,4,8,5,6,material in spanish,Completed
SC-2931850,Yes,Mexico,Querétaro,Pediatric,Pediatric ICU,,Semiprivate,,Less than 10 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Active Participation / Present During Rounds, - ,Active Participation / Present During Rounds, - , - ,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team, - , - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2912020,Yes,Mexico,Hermosillo,Adult,Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Private,,Less than 10 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - , - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - , - , - , - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures,Videos Lectures,Lectures,Lectures,Videos,Lectures,Physician,Physician Respiratory Therapist,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse,Yes,Fentanyl Paracetamol,,Yes,Yes,Yes,Other,Isoflurano,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,2,1,1,1,8,1,1,,Completed
SC-2885530,Yes,Mexico,Mexico City,Adult,Other,RESPIRATORY,Government,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes, - , - ,Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,INFECTOUS DISEASES SPECIALIST,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility",No,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Non-Compliant,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,,Physician Training MD Intern / Resident / Fellow,Physician Registered Nurse,No,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs Other,BUPRENORPHINE,Yes,Yes,Yes,Propofol Dexmedetomidine,,No,No,Yes,Within 1-3 days of admission,Daily,No,Yes,I don't know,No,No,No,No,No,No,No,Yes,Not a Barrier,3,1,1,2,8,4,BURNOUT,Completed
SC-2885536,Yes,Mexico,Mexico City,Adult,Medical-Surgical Mixed ICU,,Government University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Active Participation / Present During Rounds, - , - , - , - , - , - , - , - , - , - , - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2881919,Yes,Namibia,Oshakati,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,No, - , - , - , - , - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - , - , - ,Member of the Multidisciplinary Team,medical officers not in training,we consult other specialties when needed,Somewhat Familiar,None of them,No,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Non-Compliant,Compliant on some patients,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician,No,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam,,No,No,Yes,Within 7-10 days of admission,Variable,No,Yes,No,No,No,No,No,No,No,No,Yes,3,5,2,1,4,8,6,Main resource limitation is staff,Completed
SC-2885462,Yes,Nepal,Lalitpur,Adult,Medical ICU,,University/Academic Hospital,,21 - 30 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Somewhat Familiar,None of them,No,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,No,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,No,No,Yes,Within 1-3 days of admission,Variable,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,4,3,8,7,6,5,5,Leadership and responsibility,Completed
SC-2881310,Yes,Nicaragua,Managua,Pediatric,Pediatric ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,"I have heard of it, but I don't know much about it","A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation F: Family Engagement",No,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on most patients,Fully Compliant (on all eligible patients),No,Lectures,Lectures,No,No,Videos Lectures Handouts Simulations,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Ketamine Dexmedetomidine,,No,Yes,No,Within 1-3 days of admission,Variable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,5,2,2,3,5,5,5,Cultural,Completed
SC-2939906,Yes,Nigeria,Uyo,Both Adult and Pediatric,Surgical ICU Medical ICU Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,No,Other,Critical care nurse,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2881372,Yes,Nigeria,Enugu,Pediatric,Pediatric ICU,,Government University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,Yes,Other,Paediatric Intensivist (Consultant Paediatrician plus postgraduate diploma in paediatric critical care),3 - 5 years,Yes, - , - , - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility F: Family Engagement",No,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures Simulations,Lectures,Videos Lectures Simulations,Lectures,Lectures,No,Physician Training MD Intern / Resident / Fellow,Physician,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Ketamine,,Yes,No,Yes,Within 1-3 days of admission,Daily,Yes,Yes,I don't know,I don't know,I don't know,Yes,Yes,Yes,Yes,No,Yes,4,4,1,2,6,7,5,,Completed
SC-2881318,Yes,Nigeria,Ife,Both Adult and Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,6 - 10 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,"I have heard of it, but I don't know much about it","A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,No,No,Lectures,Lectures Handouts,Lectures Handouts,Lectures,Physician,Physician,Physician,Physician,Physician,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Propofol,,Yes,No,Yes,Within 1-3 days of admission,Daily,Yes,Yes,I don't know,Yes,Yes,No,No,No,No,No,Yes,3,2,1,1,3,5,4,Lack of availability of training for staff,Completed
SC-2939875,Yes,Nigeria,Kaduna,Both Adult and Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Government,,Less than 10 beds,1 nurse to 3-5 patients,No,Registered Nurse,,>15 years,Yes,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,I have never heard of it,None of them,I don't know,I don't know,Non-Compliant,Non-Compliant,Compliant on some patients,Compliant on some patients,I don't know,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician,I don't know,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,I don't know,I don't know,I don't know,Propofol Ketamine,,I don't know,Yes,I don't know,Within 4-6 days of admission,Daily,No,Yes,I don't know,I don't know,I don't know,Yes,Yes,Yes,No,Yes,Yes,1,2,1,1,4,8,8,,Completed
SC-2939876,Yes,Nigeria,Kebbi State,Adult,Other,General ICU,University/Academic Hospital,,11 - 20 beds,1 nurse to 3-5 patients,Yes,Registered Nurse,,6 - 10 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2939879,Yes,Nigeria,Bida,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government,,Less than 10 beds,1 nurse to 3-5 patients,No,Registered Nurse,,<2 years,No, - ,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,I have never heard of it,"A: Assess, Prevent and Manage Pain B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility F: Family Engagement",I don't know,I don't know,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,Handouts,Handouts,Simulations,Lectures Handouts,Handouts,Physician,Physician,Physician,Physician,Registered Nurse,Registered Nurse,No,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Propofol Ketamine,,No,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,No,No,No,No,Yes,No,No,No,No,Yes,1,4,1,1,7,1,7,Lack of cooperation from the part of the hospital management,Completed
SC-2939909,Yes,Nigeria,Ilorin,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,11 - 15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2935772,Yes,Nigeria,Portharcourt,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government University/Academic Hospital,,11 - 20 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,6 - 10 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,No,Videos No,Videos No,Videos,Videos,Videos,Physician,Physician,Physician,Physician,Physician,Physician,No,Fentanyl Hydromorphone Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Diazepam Lorazepam Propofol Ketamine,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,"SCCM makes access to scholarly information too expensive for poor countries.  Membership is expensive in USD, conference attendance difficult and very expensive books. Sccm should reconsider old stance. Thank you",Completed
SC-2939917,Yes,Nigeria,Ilorin,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,Yes,Registered Nurse,,11 - 15 years,No,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2939919,Yes,Nigeria,Ilorin,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,11 - 15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,The CMD,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2939921,Yes,Nigeria,Ilorin(ILORIN),Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,Yes,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,11 - 15 years,Yes, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,CMD,,"I have heard of it, but I don't know much about it","A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation",I don't know,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,No,Lectures,No,Handouts,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Lorazepam Propofol,,Yes,Yes,Yes,Within 7-10 days of admission,Variable,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Not a Barrier,Not a Barrier,3,5,5,5,6,,Completed
